source,biological_context,cid,canonical_smiles,isomeric_smiles,molecular_formula,molecular_weight,cytotoxic_label,potency_value,potency_metric,potency_unit,n_assays_active,n_assays_tested,assay_description
Tox21,off-target-safety,379,CCCCCCCC(=O)O,CCCCCCCC(=O)O,C8H16O2,144.21,,,AC50,uM,0.0,7.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,385,C(CCC(=O)O)CCC(=O)O,C(CCC(=O)O)CCC(=O)O,C7H12O4,160.17,1.0,22.0116,AC50,uM,1.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,398,CC(C)[N+](=O)[O-],CC(C)[N+](=O)[O-],C3H7NO2,89.09,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,403,C1=CC(=CC=C1N)O,C1=CC(=CC=C1N)O,C6H7NO,109.13,1.0,25.5112,AC50,uM,2.0,6.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,447,C1=CC(=CC(=C1)Cl)C(=O)O,C1=CC(=CC(=C1)Cl)C(=O)O,C7H5ClO2,156.56,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,454,CCCCCCCC=O,CCCCCCCC=O,C8H16O,128.21,0.0,,AC50,uM,0.0,8.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,460,COC1=CC=CC=C1O,COC1=CC=CC=C1O,C7H8O2,124.14,,,AC50,uM,0.0,10.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,464,C1=CC=C(C=C1)C(=O)NCC(=O)O,C1=CC=C(C=C1)C(=O)NCC(=O)O,C9H9NO3,179.17,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,525,C(C(C(=O)O)O)C(=O)O,C(C(C(=O)O)O)C(=O)O,C4H6O5,134.09,0.0,,AC50,uM,0.0,8.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,527,CCC=O,CCC=O,C3H6O,58.08,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,541,C1=CC(=CC=C1C=O)[N+](=O)[O-],C1=CC(=CC=C1C=O)[N+](=O)[O-],C7H5NO3,151.12,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,546,C(C(=O)O)P(=O)(O)O,C(C(=O)O)P(=O)(O)O,C2H5O5P,140.03,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,564,C(CCC(=O)O)CCN,C(CCC(=O)O)CCN,C6H13NO2,131.17,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,C1=CC=C2C(=C1)C3=CC=CC=C3O2,C12H8O,168.19,,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,594,C(C(C(=O)O)N)S,C(C(C(=O)O)N)S,C3H7NO2S,121.16,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,597,C1=C(NC(=O)N=C1)N,C1=C(NC(=O)N=C1)N,C4H5N3O,111.1,0.0,,AC50,uM,0.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,612,CC(C(=O)O)O,CC(C(=O)O)O,C3H6O3,90.08,0.0,,AC50,uM,0.0,12.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,650,CC(=O)C(=O)C,CC(=O)C(=O)C,C4H6O2,86.09,,,AC50,uM,0.0,3.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,660,C1CC(=O)OC2=CC=CC=C21,C1CC(=O)OC2=CC=CC=C21,C9H8O2,148.16,,,AC50,uM,0.0,7.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
Tox21,off-target-safety,671,C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O,C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O,C11H8O4,204.18,1.0,19.4938,AC50,uM,4.0,4.0,"RealTime-Glo MT Cell Viability + CellTox Green Cytotoxicity, HEK293 & HepG2, 40h exposure (qHTS)"
