source,biological_context,cid,canonical_smiles,isomeric_smiles,molecular_formula,molecular_weight,cytotoxic_label,potency_value,potency_metric,potency_unit,n_assays_active,n_assays_tested,potency_um,cytotox_median_um,cytotox_lower_bound_um,nhit,ntested,dtxsid,casrn,name,assay_description
ToxCast,off-target-safety,23681059,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+],C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+],C14H13NaO3,252.24,0,1000.0,burst_median_AC50,uM,0,59,1000.0,1000.0,1000.0,0,59,DTXSID7045576,26159-34-2,Naproxen sodium,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23681107,C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.O.O.O.[Na+],C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.O.O.O.[Na+],C4H18NNaO10P2,325.12,1,1000.0,burst_median_AC50,uM,1,63,1000.0,1000.0,1000.0,1,63,DTXSID7047801,121268-17-5,Alendronate sodium,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23681141,CC1=CC(=C(C(=O)O1)C(=O)C)[O-].[Na+],CC1=CC(=C(C(=O)O1)C(=O)C)[O-].[Na+],C8H7NaO4,190.13,0,1000.0,burst_median_AC50,uM,0,82,1000.0,1000.0,1000.0,0,82,DTXSID7026029,4418-26-2,Sodium dehydroacetate,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23681217,CCC1(C(=O)NC(=NC1=O)[O-])CC.[Na+],CCC1(C(=O)NC(=NC1=O)[O-])CC.[Na+],C8H11N2NaO3,206.17,0,1000.0,burst_median_AC50,uM,0,68,1000.0,1000.0,1000.0,0,68,DTXSID3020128,144-02-5,Sodium barbital,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23681233,CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)C1=CC(=C(C=C1)Cl)Cl.[Na+],CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)C1=CC(=C(C=C1)Cl)Cl.[Na+],C22H31Cl2N2NaO4,481.4,1,1000.0,burst_median_AC50,uM,2,59,1000.0,1000.0,1000.0,2,59,DTXSID8045228,1021868-76-7,Lorglumide sodium,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23681451,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)[O-])C3CCCCC3.[Na+],CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2C[C@@H](C[C@H]2C(=O)[O-])C3CCCCC3.[Na+],C30H45NNaO7P,585.6,0,1000.0,burst_median_AC50,uM,0,14,1000.0,1000.0,1000.0,0,14,DTXSID7046621,88889-14-9,Fosinopril sodium,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23682187,COC1=CC(=NC(=N1)SC2=C(C(=CC=C2)Cl)C(=O)[O-])OC.[Na+],COC1=CC(=NC(=N1)SC2=C(C(=CC=C2)Cl)C(=O)[O-])OC.[Na+],C13H10ClN2NaO4S,348.74,0,1000.0,burst_median_AC50,uM,0,88,1000.0,1000.0,1000.0,0,88,DTXSID8032673,123343-16-8,Pyrithiobac sodium,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23682214,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N=C)C(=O)[O-])C.[Na+],CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N=C)C(=O)[O-])C.[Na+],C17H18N3NaO4S,383.4,0,1000.0,burst_median_AC50,uM,0,14,1000.0,1000.0,1000.0,0,14,DTXSID6045872,6489-61-8,Metampicillin sodium,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23682789,COC1=CC(=NC(=N1)OC2=C(C(=CC=C2)OC3=NC(=CC(=N3)OC)OC)C(=O)[O-])OC.[Na+],COC1=CC(=NC(=N1)OC2=C(C(=CC=C2)OC3=NC(=CC(=N3)OC)OC)C(=O)[O-])OC.[Na+],C19H17N4NaO8,452.3,0,1000.0,burst_median_AC50,uM,0,68,1000.0,1000.0,1000.0,0,68,DTXSID7034383,125401-92-5,Bispyribac-sodium,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23683016,CC(C)COC(=O)CC(C(=O)OCC(C)C)S(=O)(=O)[O-].[Na+],CC(C)COC(=O)CC(C(=O)OCC(C)C)S(=O)(=O)[O-].[Na+],C12H21NaO7S,332.35,0,1000.0,burst_median_AC50,uM,0,68,1000.0,1000.0,1000.0,0,68,DTXSID7029164,127-39-9,"Sodium 1,4-diisobutyl sulfosuccinate","ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
ToxCast,off-target-safety,23683938,C(C(C1C(=C(C(=O)O1)O)[O-])O)O.[Na+],C([C@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.[Na+],C6H7NaO6,198.11,1,1000.0,burst_median_AC50,uM,1,87,1000.0,1000.0,1000.0,1,87,DTXSID5020570,6381-77-7,Sodium erythorbate,"ToxCast cytotoxicity-associated burst (median/lower-bound AC50 across ~86 burst-flagged assays, invitrodb v3.4)"
